DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3;103,09;139760,98;634316107,23
PAN;AXM;M3;8,78;10189,46;46390455,86
DEU;BOG;U;954,00;362,52;1639909,97
DEU;BOG;U;499,00;189,62;857772,61
DEU;BOG;U;60,00;9240,00;42235208,40
DEU;BOG;U;13,00;139,00;628785,96
DEU;BOG;U;90,00;844,37;3819625,90
DEU;BOG;U;7,00;63,60;287703,50
DEU;BOG;U;502,00;27166,80;122989882,28
DEU;BOG;U;129,00;24681,60;111366486,72
DEU;BOG;U;129,00;36036,00;164717312,76
DEU;BOG;U;35,00;4165,00;18669404,25
DEU;BOG;U;50,00;5100,00;22860495,00
DEU;BOG;U;167,00;15632,00;70983273,28
DEU;BOG;U;100,00;11831,50;54080721,66
DEU;BOG;U;4,00;533,60;2360657,07
DEU;BOG;U;23,00;6467,60;28612791,75
DEU;BOG;U;2,00;1196,00;5291127,92
DEU;BOG;U;5,00;2553,00;11294523,06
DEU;BOG;U;20,00;8979,20;39724160,38
DEU;BOG;U;8,00;2097,60;9279824,35
DEU;BOG;U;8,00;1352,40;5983044,64
DEU;BOG;U;3,00;662,40;2930470,84
DEU;BOG;U;6,00;883,20;3907294,46
DEU;BOG;U;4500,00;8060,00;35938492,20
DEU;BOG;U;25,00;35015,10;161640633,32
DEU;BOG;U;3,00;306,09;1388356,90
DEU;BOG;U;7,00;4940,42;21893224,19
DEU;BOG;U;140,00;63,00;279181,35
DEU;BOG;U;5285,00;4246,80;18819481,86
DEU;BOG;U;3485,00;9471,49;44005300,25
DEU;BOG;U;4,00;4986,17;22232683,82
DEU;BOG;U;1,00;19351,70;86743027,66
DEU;BOG;U;4,00;200,00;914182,00
DEU;BOG;U;18720,00;3556,80;16065211,96
DEU;BOG;U;12496,00;17703,64;78343386,97
DEU;BOG;U;6120,00;739,90;3382016,30
DEU;BOG;U;90240,00;15105,50;67704760,20
DEU;BOG;U;16740,00;2982,60;13198810,30
DEU;BOG;U;92960,00;16971,20;75102142,22
DEU;BOG;U;72,00;104,40;471549,74
DEU;BOG;KG;286,00;2193,70;10242385,30
DEU;BOG;U;8711,00;4979,74;22526551,05
DEU;BOG;KG;8,55;124,46;551538,26
