DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3;89,66;88610,29;357095038,2
PAN;AXM;M3;8,18;7296,42;29404207,77
DEU;BOG;KG;756;4636,8;18339610,46
DEU;BOG;U;16280;9191,6;37906526,06
DEU;BOG;U;5;580;2304577,8
DEU;BOG;U;51;12369,92;49150763,82
DEU;BOG;U;17;6256;24857652,96
DEU;BOG;KG;1018;157790;643451841
DEU;BOG;U;41120;43969,44;179302979,4
DEU;BOG;U;300;48;193519,2
DEU;BOG;U;16600;2899,2;11604465,4
DEU;BOG;U;84;121704,63;499503188,7
DEU;BOG;U;3850;693;2740974,39
DEU;BOG;U;10320;1825,6;7220667,88
DEU;BOG;U;10149;4073,7;16526960,16
DEU;BOG;U;1800;297;1216535,76
DEU;BOG;U;17120;2998,4;12191749,47
DEU;BOG;KG;111;264,6;1031537,8
DEU;BOG;KG;58,5;169;658843,12
DEU;BOG;KG;9;21,9;85376,71
DEU;BOG;KG;194,75;826,5;3222093,72
DEU;BOG;KG;69;253;986315,44
DEU;BOG;KG;88;228;888853,44
DEU;BOG;KG;108,4;556,4;2169114,27
DEU;BOG;KG;1381;7806,4;30433094,27
DEU;BOG;KG;23;140;545787,2
DEU;BOG;KG;22,5;85,5;333320,04
DEU;BOG;KG;27;42371,32;165183743,6
DEU;BOG;U;4211;15380,01;63331497,57
DEU;BOG;U;1;3203,8;13212599,35
DEU;BOG;U;1;991,52;4089068,14
DEU;BOG;U;8;8845,1;36477546,16
DEU;BOG;U;770;5967,5;24572852,15
DEU;BOG;U;391;26675,69;108754120,6
DEU;BOG;U;6560;4769,06;19667794,2
DEU;BOG;U;9;496,08;1999177,59
DEU;BOG;U;3;530;2165762,4
DEU;BOG;U;12;646,32;2640430,48
DEU;BOG;U;1;11232,06;46251152,02
DEU;BOG;U;1;50;202849,5
DEU;BOG;U;75860;13721,2;54890021,07
DEU;BOG;U;24420;4375,2;17391798,57
DEU;BOG;U;81880;14911,6;60722136,28
DEU;BOG;U;2;9982,8;38917746,14
DEU;BOG;U;1;13338;52997342,58
DEU;BOG;U;1600;304;1253708,16
DEU;BOG;U;17200;3268;13477362,72
DEU;BOG;M2;681,26;4208,46;17303167,45
DEU;BOG;KG;0,9;14,95;61084,05
DEU;BOG;U;1;74,03;302478,43
DEU;BOG;U;8;75,66;309138,42
DEU;BOG;KG;3,72;23,84;97407,6
DEU;BOG;KG;0,14;1,1;4494,47
DEU;BOG;U;13;1895,56;7745049,61
DEU;BOG;U;1;511,32;2089197,27
DEU;BOG;U;36;1617,69;6609703,39
DEU;BOG;U;28;14,48;59163,68
DEU;BOG;U;10;1615,83;6602103,61
DEU;BOG;U;1;11004,16;45312709,96
DEU;BOG;U;2;28537,58;116601412,7
DEU;BOG;U;42;2673,41;10923259,13
DEU;BOG;U;1;11017,13;43575283,08
DEU;BOG;U;2;22034,26;87150566,17
DEU;BOG;U;2;12993,86;51393704,88
DEU;BOG;U;7920;1057,99;4265445,38
DEU;BOG;U;36880;4998,19;20150952,71
DEU;BOG;U;13280;2523,6;10407427,34
DEU;BOG;U;29246;27611,38;109350062,6
DEU;BOG;U;1;55,19;219292,49
DEU;BOG;U;50;2,5;10310,1
DEU;BOG;U;2;9;36773,01
DEU;BOG;U;2250;1205;4766052,15
DEU;BOG;U;2;19091,4;77852820,06
DEU;BOG;U;1;1491,88;6083737,45
DEU;BOG;C/T;38,12;11000;45226720
DEU;BOG;KG;72;2787,84;11364518,24
DEU;BOG;U;4800;816;3382148,64
DEU;BOG;KG;3120;21761,5;88487688,88
DEU;BOG;KG;100,65;653,07;2649498,45
DEU;BOG;KG;40,05;36780,84;150896198,6
DEU;BOG;KG;36,9;30277,32;119753764,4
DEU;BOG;KG;61,2;52404,55;214089880,3
DEU;BOG;U;23700;3792;14998232,15
DEU;BOG;U;144320;23418,8;93682437,86
DEU;BOG;U;3;3600;14426784
DEU;BOG;U;10;12000;48089280
DEU;BOG;U;2;12000;49127520
DEU;BOG;U;4420;795,6;3297594,92
DEU;BOG;U;24648;4683,12;19410548,94
DEU;BOG;U;11480;3444;14120617,92
DEU;BOG;U;33;36300;149513694
DEU;BOG;KG;829;6973,06;28713526,99
DEU;BOG;KG;3640;24929,51;103327583,8
DEU;BOG;U;1;6000;24563760
DEU;BOG;U;691;6,91;28229,63
DEU;BOG;U;2;640,4;2623129,63
DEU;BOG;KG;289;2241;9256069,53
DEU;BOG;KG;123;497,8;2029261,78
DEU;BOG;M3;1944,03;1299493,05;5256095454
DEU;BOG;KG;0,8;299,25;1205962,53
DEU;BOG;U;1404265;7256,43;29971450,52
ARM;BOG;U;30;3;12372,12
ARM;BOG;U;1000;185;757382,6
ARM;BOG;U;700;119;476885,36
ARM;BOG;U;80;216;880515,36
ARM;BOG;U;8048;3590,4;14390780,53
ARM;BOG;U;90;207;843827,22
ARM;BOG;U;1200;192;762894,72
ARM;BOG;U;15625;2500;9933525
ARM;BOG;U;1600;259,2;1070581,53
ARM;BOG;U;1600;200;826066
ARM;BOG;U;1200;156;644331,48
ARM;BOG;U;700;99,05;407246,05
ARM;BOG;U;3200;467;1920079,84
ARM;BOG;U;288;244,8;1008593,13
ABW;BOG;U;2838;964,92;3914670,79
ABW;BOG;U;2274;523,02;2121886,9
ABW;BOG;U;50;37,5;152137,12
ABW;BOG;U;869;369,33;1498368,11
ABW;BOG;KG;115;475,8;1930315,84
ABW;BOG;U;1875;600;2451198
ABW;BOG;U;1229;589;2406259,36
ABW;BOG;KG;65;375;1531998,75
ABW;BOG;U;17528;4640,99;18390231,79
ABW;BOG;U;1442;288,4;1170035,91
ABW;BOG;U;1977;764,14;3027213,58
ABW;BOG;U;1977;418,68;1659866,99
ABW;BOG;U;1004;553,73;2190129,49
ABW;BOG;U;924;268,07;1060278,5
ABW;BOG;U;210;53,4;211209,28
ABW;BOG;U;20678;5451,24;21583088,81
ABW;BOG;KG;202;2615,47;10383699,22
