DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3;75,22;102115,16; 484.897.921,86 
PAN;AXM;M3;14,37;17148,61; 81.430.860,52 
DEU;BOG;U;11040;10445,1; 49.029.194,94 
DEU;BOG;U;140;64,4; 302.292,95 
DEU;BOG;KG;1134;5405,4; 25.372.893,54 
DEU;BOG;U;60;55,8; 261.924,64 
DEU;BOG;KG;78;50; 231.582,00 
DEU;BOG;U;234;150; 694.746,00 
DEU;BOG;U;13320;1462,97; 6.852.332,03 
DEU;BOG;U;57720;7359,23; 34.469.529,43 
DEU;BOG;U;960;603,69; 2.838.954,85 
DEU;BOG;U;225;1961,15; 9.083.340,78 
DEU;BOG;U;164;265,6; 1.325.232,44 
DEU;BOG;U;74;5682,65; 26.616.680,20 
DEU;BOG;U;160;5575,35; 26.114.103,09 
DEU;BOG;U;46;1037,51; 4.859.541,21 
DEU;BOG;U;93;4865,21; 22.787.913,85 
DEU;BOG;U;20;140; 664.795,60 
DEU;BOG;U;13263;8253,3; 39.532.881,26 
DEU;BOG;U;163584;1635,84; 8.054.876,16 
DEU;BOG;U;3;150; 732.849,00 
DEU;BOG;U;1;50; 244.283,00 
DEU;BOG;KG;15;50; 227.296,00 
DEU;BOG;U;24040;4567,6; 21.427.022,68 
DEU;BOG;U;8800;2544; 11.546.987,04 
DEU;BOG;U;5772;9064,8; 42.550.080,54 
DEU;BOG;U;13120;2427,2; 11.386.213,64 
DEU;BOG;U;6660;1152; 5.558.935,56 
DEU;BOG;U;73760;13305,6; 62.872.905,24 
DEU;BOG;U;76200;13716; 68.268.728,88 
DEU;BOG;KG;292,61;1560,68; 7.325.816,31 
DEU;BOG;U;7;42,96; 203.997,27 
DEU;BOG;U;1;16867,2; 80.094.573,88 
DEU;BOG;U;20;1929,18; 9.160.788,39 
DEU;BOG;U;1;12976,84; 62.421.195,76 
DEU;BOG;U;17600;3183,39; 14.934.152,66 
DEU;BOG;U;13;9428,94; 44.759.342,16 
DEU;BOG;U;2700;450,75; 2.114.508,81 
DEU;BOG;U;14400;2553,6; 12.173.426,10 
DEU;BOG;U;100;1; 4.691,09 
DEU;BOG;U;32000;5760; 28.739.980,80 
DEU;BOG;KG;9;25,2; 118.239,40 
DEU;BOG;KG;27;84,5; 396.477,38 
DEU;BOG;KG;276,75;675; 3.167.127,00 
DEU;BOG;KG;54;198; 929.023,92 
DEU;BOG;KG;168;462; 2.167.722,48 
DEU;BOG;KG;103,8;361,8; 1.697.580,07 
DEU;BOG;KG;1390,8;5386,7; 25.274.611,86 
DEU;BOG;KG;10;80; 375.363,20 
DEU;BOG;KG;20;76; 356.595,04 
DEU;BOG;U;2;3517,44; 15.940.158,72 
DEU;BOG;U;5;270,78; 1.232.325,19 
DEU;BOG;U;1;919,19; 4.165.539,28 
DEU;BOG;U;12000;2280; 10.695.685,20 
DEU;BOG;U;24000;4588,8; 21.526.473,79 
DEU;BOG;U;57;48221,79; 232.997.113,02 
DEU;BOG;U;984;402,7; 1.967.455,28 
DEU;BOG;U;23240;4183,2; 20.437.692,91 
DEU;BOG;U;1;371,84; 1.800.545,95 
DEU;BOG;U;24;29453,89; 143.901.692,17 
DEU;BOG;U;1;8963; 41.513.389,32 
DEU;BOG;U;6;42000; 197.065.680,00 
DEU;BOG;U;850;132,5; 621.569,42 
DEU;BOG;U;7350;1205,5; 5.655.108,99 
DEU;BOG;U;200;150; 703.663,50 
DEU;BOG;U;24320;3502,08; 17.244.241,92 
DEU;BOG;U;31977;6652,35; 30.848.535,84 
DEU;BOG;U;50315;12597,71; 59.065.204,55 
DEU;BOG;KG;1413,76;7975,68; 36.256.962,73 
DEU;BOG;KG;208;567,2; 2.578.457,16 
DEU;BOG;KG;22273;93158; 423.490.678,52 
DEU;BOG;U;42426;73663,77; 333.987.592,94 
DEU;BOG;KG;62;165848,76; 816.639.294,24 
DEU;BOG;KG;30;106999,2; 526.864.060,80 
DEU;BOG;U;4050;850,5; 3.866.321,97 
DEU;BOG;U;19800;3222; 15.150.047,68 
DEU;BOG;U;123800;22004; 104.369.872,29 
DEU;BOG;U;12760;3853,74; 17.491.779,02 
DEU;BOG;KG;15;86,35; 415.157,84 
