DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3; 64,79 ; 87.627,38 ; 419.142.789,10 
PAN;AXM;M3; 12,16 ; 15.583,40 ; 74.539.142,21 
DEU;BOG;KG; 2.512,08 ; 12.308,40 ; 58.709.221,74 
DEU;BOG;U; 46,00 ; 219,21 ; 1.063.091,77 
DEU;BOG;U; 697,00 ; 3.262,60 ; 15.822.468,09 
DEU;BOG;U; 2,00 ; 11,68 ; 56.643,91 
DEU;BOG;U; 48,00 ; 401,16 ; 1.945.485,59 
DEU;BOG;U; 22,00 ; 215,04 ; 1.042.868,73 
DEU;BOG;U; 10,00 ; 10,00 ; 49.503,30 
DEU;BOG;U; 1,00 ; 1.500,00 ; 7.449.495,00 
DEU;BOG;U; 63,00 ; 83.280,61 ; 400.424.832,09 
DEU;BOG;U; 29.878,00 ; 8.673,96 ; 41.429.001,45 
DEU;BOG;U; 8,00 ; 427,12 ; 2.053.652,75 
DEU;BOG;U; 3,00 ; 150,00 ; 725.978,00 
DEU;BOG;U; 1,00 ; 908,65 ; 4.410.496,23 
DEU;BOG;U; 1.500,00 ; 270,00 ; 1.329.725,70 
DEU;BOG;U; 13.100,00 ; 2.497,00 ; 12.297.500,27 
DEU;BOG;U; 30,00 ; 30,00 ; 147.568,20 
DEU;BOG;U; 30,00 ; 180,00 ; 885.409,20 
DEU;BOG;U; 150,00 ; 150,00 ; 737.840,00 
DEU;BOG;U; 1,00 ; 280,00 ; 1.377.303,20 
DEU;BOG;KG; 15,00 ; 300,00 ; 1.475.681,00 
DEU;BOG;2U; 15,00 ; 80,00 ; 393.515,20 
DEU;BOG;U; 80,00 ; 80,00 ; 393.515,20 
DEU;BOG;U; 300,00 ; 800,00 ; 3.935.151,00 
DEU;BOG;U; 30,00 ; 30,00 ; 147.568,20 
DEU;BOG;U; 1,00 ; 70,00 ; 344.325,80 
DEU;BOG;U; 73.940,00 ; 13.387,60 ; 65.531.392,49 
DEU;BOG;U; 16.200,00 ; 2.840,40 ; 13.612.102,59 
DEU;BOG;U; 91.520,00 ; 16.588,80 ; 80.611.344,50 
DEU;BOG;U; 100,00 ; 24,00 ; 112.073,76 
DEU;BOG;U; 180,00 ; 57,60 ; 268.977,02 
DEU;BOG;U; 3.003,00 ; 1.555,81 ; 7.701.772,91 
DEU;BOG;U; 32,00 ; 3,20 ; 15.288,73 
DEU;BOG;U; 1,00 ; 30.170,43 ; 147.178.598,44 
DEU;BOG;KG; 495,00 ; 1.237,96 ; 6.003.672,71 
DEU;BOG;U; 10,00 ; 363,49 ; 1.762.799,27 
DEU;BOG;U; 2,00 ; 84,19 ; 408.292,03 
DEU;BOG;KG; 12,00 ; 7,37 ; 35.741,92 
DEU;BOG;U; 1,00 ; 13.558,38 ; 65.332.681,03 
DEU;BOG;U; 1,00 ; 273,24 ; 1.316.639,72 
DEU;BOG;U; 1,00 ; 238,65 ; 1.149.963,66 
