DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
DEU;BOG;U;1290,00;1075,20;4279511,04
DEU;BOG;U;540,00;423,00;1683045,09
DEU;BOG;KG;4093,50;24931,60;102272664,30
DEU;BOG;U;50260,00;27795,00;113373077,94
DEU;BOG;U;128,00;534,52;2122782,03
DEU;BOG;U;613,00;3008,70;11948691,00
DEU;BOG;U;108,00;617,70;2453121,42
DEU;BOG;U;20,00;141,00;559964,58
DEU;BOG;U;41,00;292,70;1162422,92
DEU;BOG;KG;1018,00;157790,00;651462839,30
DEU;BOG;KG;52,00;20,00;82561,60
DEU;BOG;U;25920,00;4665,60;19138897,72
DEU;BOG;U;38,00;60072,46;245654714,48
DEU;BOG;U;3,00;4342,54;18141308,24
DEU;BOG;U;3500,00;609,00;2490383,70
DEU;BOG;U;11840,00;2131,20;8715116,16
DEU;BOG;U;4400,00;792,00;3107404,08
DEU;BOG;U;37280,00;6678,40;26202635,61
DEU;BOG;U;17180,00;5018,50;20522152,05
DEU;BOG;U;1950,00;321,75;1328399,57
DEU;BOG;U;15840,00;2790,40;11561412,13
DEU;BOG;KG;63,00;176,40;740162,05
DEU;BOG;KG;43,50;130,00;545470,90
DEU;BOG;KG;21,00;80,00;335674,40
DEU;BOG;KG;6,00;14,60;61260,57
DEU;BOG;KG;287,00;1064,00;4464469,52
DEU;BOG;KG;72,00;264,00;1107725,52
DEU;BOG;KG;217,00;612,00;2567909,16
DEU;BOG;KG;133,60;428,80;1799214,78
DEU;BOG;KG;1968,40;8729,50;36628370,93
DEU;BOG;KG;25,00;140,00;587430,20
DEU;BOG;KG;30,00;114,00;478336,02
DEU;BOG;KG;100,00;3800,00;15785428,00
DEU;BOG;KG;100,00;2983,00;12391560,98
DEU;BOG;KG;20,00;31567,50;123854770,57
DEU;BOG;KG;50,00;1268,00;5159986,52
DEU;BOG;KG;500,00;15330,00;60881255,40
DEU;BOG;KG;1527,00;51793,92;213692271,46
DEU;BOG;U;285,00;12795,63;50312928,98
DEU;BOG;U;476,00;18568,98;73013972,11
