DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3;163,91;179772,04;752017442,6
PAN;AXM;M3;15,99;15069,98;63023004,16
DEU;BOG;U;160;0,16;709,45
DEU;BOG;U;1171;730,88;3137147,47
DEU;BOG;KG;756;4510,8;19428105,81
DEU;BOG;U;15;4275;17722953
DEU;BOG;U;5;1380;5721093,6
DEU;BOG;U;23;14755;61170098,6
DEU;BOG;U;80;6272;26147215,36
DEU;BOG;U;56;14027,2;58477713,53
DEU;BOG;U;24;8832;36819548,16
DEU;BOG;KG;1003,86;155598,3;689936866
DEU;BOG;U;9870;10842,93;46700716,36
DEU;BOG;U;6500;5520;23774750,4
DEU;BOG;U;9;22977,7;95480330,57
DEU;BOG;U;7890;2490;10480758,6
DEU;BOG;U;2250;337,5;1399180,5
DEU;BOG;KG;682,08;3444,88;14377757,86
DEU;BOG;KG;382,5;5724,07;23730391,48
DEU;BOG;U;1;384,48;1596545,51
DEU;BOG;U;1;25;106125
DEU;BOG;U;4;33,6;140074,36
DEU;BOG;U;1;13;54195,44
DEU;BOG;U;45;45731,13;190805365,6
DEU;BOG;U;12;131,2;546957,05
DEU;BOG;U;17;877,8;3659442,86
DEU;BOG;U;3;161,37;670085,69
DEU;BOG;U;1;3245;13571660,85
DEU;BOG;U;3;3595,5;15037567,51
DEU;BOG;U;2;1558;6516070,14
DEU;BOG;U;3;1969,52;8237182,58
DEU;BOG;U;12892;15448,78;64611896,04
DEU;BOG;U;93840;17174,4;71855972,59
DEU;BOG;U;28980;5216,4;21771480,02
DEU;BOG;U;108960;19798,4;82631790,13
DEU;BOG;U;10800;2052;8590287,6
DEU;BOG;U;15920;2995,4;12537842,22
DEU;BOG;KG;414;41378,6;171823808,9
DEU;BOG;U;14580;2624,4;10976106,85
DEU;BOG;U;21760;3916,8;16381350,14
DEU;BOG;U;4150;744;3105203,04
DEU;BOG;U;16090;2896,2;12087754,09
DEU;BOG;U;600;99;413192,34
DEU;BOG;U;23520;4222,4;17582370,61
DEU;BOG;KG;66;176,4;759758,32
DEU;BOG;KG;48;130;559912,6
DEU;BOG;KG;57;208;895860,16
DEU;BOG;KG;143,5;532;2291334,64
DEU;BOG;KG;69;253;1089676,06
DEU;BOG;KG;99,5;264;1137053,28
DEU;BOG;KG;143,7;462,3;1991135,34
DEU;BOG;KG;1715,6;7820;33680896,4
DEU;BOG;KG;27;150;646053
DEU;BOG;KG;35;133;572833,66
DEU;BOG;U;80;93331,59;394366499,2
DEU;BOG;U;1800;900;3756294
DEU;BOG;KG;1;27282,5;113737468,6
DEU;BOG;U;1;420,61;1759129,82
DEU;BOG;U;24764;9078,8;38817416,08
DEU;BOG;KG;0,9;23992,16;100286749
DEU;BOG;U;100;200;834466
DEU;BOG;U;56108;14594;60718072,24
DEU;BOG;U;1;5772;24090365,52
DEU;BOG;KG;72;2787,84;11734408,85
DEU;BOG;KG;161;76373,84;323931783,5
DEU;BOG;KG;27,2;65280;271869004,8
DEU;BOG;KG;35;16567,32;69067169
DEU;BOG;U;700;224;938846,72
DEU;BOG;U;52230;8470,2;35360646,79
DEU;BOG;U;258460;41211,6;172097584,8
DEU;BOG;U;7600;1876;7822169,6
DEU;BOG;U;6120;1224;5151987,36
DEU;BOG;U;25620;5380,2;22646015,02
DEU;BOG;KG;849,54;10889,52;45434670,98
DEU;BOG;KG;116,03;1755,46;7324358,42
DEU;BOG;KG;38,52;1342,8;5602604,72
DEU;BOG;U;7200;1152;4790257,92
DEU;BOG;U;84420;14911,2;62304224,97
DEU;BOG;U;1;12805,25;56779630,97
DEU;BOG;KG;60;214,2;888013,22
DEU;BOG;KG;45;121,32;502958,75
DEU;BOG;KG;45;81,36;337295,77
DEU;BOG;KG;32;195,83;811856,34
DEU;BOG;KG;230;639,4;2650773,36
DEU;BOG;KG;100;580,1;2404932,17
DEU;BOG;KG;1375,6;8801,91;36490254,32
DEU;BOG;KG;10;40,2;166657,94
DEU;BOG;KG;27,5;85,58;354790,71
DEU;BOG;U;10220;3110,8;13038233,82
DEU;BOG;U;1;1100;4597977
DEU;BOG;KG;384;2448;10391760
DEU;BOG;KG;2610,4;21335;90567075
DEU;BOG;U;2;250;1039552,5
DEU;BOG;U;1136;11,36;47771,91
DEU;BOG;U;2;22169,34;92421318,12
DEU;BOG;U;100;300;1257384
DEU;BOG;U;6760;2620,6;10983668,36
DEU;BOG;M3;1101,53;892066,34;3721013158
DEU;BOG;U;675429;3242,06;13762544,7
ARM;BOG;U;1800;288;1202014,08
ARM;BOG;U;35294;5675,04;23759649,56
ARM;BOG;U;60;162;714499,38
ARM;BOG;U;496;1455,2;6418145,04
ARM;BOG;U;150;345;1521619,05
ARM;BOG;U;800;136;566393,76
ARM;BOG;U;9120;2827,2;11774326,75
ARM;BOG;U;5500;1734,48;7609741,88
ARM;BOG;U;700;112;468157,76
ARM;BOG;U;3850;693;2892346,38
ABW;BOG;U;17111;4670,46;19658619,99
ABW;BOG;U;1223;333,81;1405053,02
ABW;BOG;U;3361;917,39;3861422,94
ABW;BOG;U;917;250,29;1053505,65
ABW;BOG;U;2750;750,62;3159464,66
ABW;BOG;U;1833;500,32;2105916,92
ABW;BOG;U;612;167,04;703094,74
ABW;BOG;U;16806;4587,25;19308377,38
ABW;BOG;KG;314;1584,48;6669298,14
ABW;BOG;U;78;1932;8016215,76
ABW;BOG;U;45;881;3655427,58
ABW;BOG;KG;168;390;1630192,2
ABW;BOG;KG;0,6;35;146694,8
ABW;BOG;M3;0,01;48,58;203612,38
ABW;BOG;U;5574;1932,41;8035366,58
ABW;BOG;U;3662;1106,97;4603013,72
ABW;BOG;U;3300;1766,5;7345477,96
ABW;BOG;U;2975;645,5;2684124,55
ABW;BOG;U;812;1230,04;5114764,61
ABW;BOG;KG;192;912,31;3793576,56
ABW;BOG;U;9000;3141;13021706,52
ABW;BOG;U;5476;2703,84;11209363,56
ABW;BOG;KG;260;1260;5223607,2
ABW;BOG;U;14905;6296;26500745,43
ABW;BOG;U;758;655,83;2760480,28
ABW;BOG;U;1769;1574;6625186,36
ABW;BOG;U;1264;262,33;1104183,69
ABW;BOG;U;506;262,34;1104225,78
ABW;BOG;U;2022;231,73;975384,01
ABW;BOG;U;26269;7340,11;30895550,53
ABW;BOG;KG;160;2841,95;11962165,42
ABW;BOG;U;305;672,5;2811036,55
ABW;BOG;U;150;260;1086794,8
ABW;BOG;U;3;90;376198,2
ABW;BOG;U;5000;1662,5;6932325,1
ABW;BOG;U;6229;3001;12514664,4
ABW;BOG;KG;182;963,3;4023074,07
ABW;BOG;U;8606;2116,81;8909949,64
ABW;BOG;U;638;156,93;660540,34
ABW;BOG;U;319;78,46;330249,12
ABW;BOG;U;2549;626,97;2639004,5
ABW;BOG;KG;29;156,93;660540,34
ABW;BOG;U;20;1385;5965222,7
ABW;BOG;KG;75;227,52;979933,19
ABW;BOG;KG;0,6;35;146078,1
ABW;BOG;KG;83;896;3739599,36
ABW;BOG;KG;28;258;1076804,28
ABW;BOG;M3;0,01;48,58;202756,4
ABW;BOG;KG;19,5;111;462745,68
ABW;BOG;L;572;888,8;3705300,54
ABW;BOG;KG;40;81,72;339340,66
ABW;BOG;KG;35;79,13;328585,74
ABW;BOG;KG;96;209,15;868491,19
ABW;BOG;KG;40;81,71;340639,18
ABW;BOG;KG;35;79,14;329925,16
ABW;BOG;KG;96;209,15;871921,25
ABW;BOG;KG;100;208,61;896228,39
ABW;BOG;KG;105;238,11;1017883,9
ABW;BOG;KG;252;546,68;2336330,94
ABW;BOG;M3;472,28;309506,04;1290754648
BIH;BOG;U;1100;176,84;739187,66
BIH;BOG;U;38505;11021,65;46000619,73
BIH;BOG;U;12550;1527;6373178,82
ATG;BOG;U;20;2228,75;9247484,92
ATG;BOG;U;8;876,64;3637337,15
ATG;BOG;U;484;34426,23;142840625
ATG;BOG;U;547;15677,05;65046902,31
ATG;BOG;U;4;259,6;1077127,12
ATG;BOG;U;14;1238,64;5139340,31
ATG;BOG;U;211;3794,76;15745142,29
ATG;BOG;2U;77;2551,4;10586217,85
ATG;BOG;U;700;801;3323493,18
ATG;BOG;U;500;35;145221,3
SAU;BOG;U;4320;3070,8;12730676,97
SAU;BOG;U;3690;2343,6;9750636,88
SAU;BOG;U;29750;24911,89;106480414
SAU;BOG;U;540;380,7;1614610,22
SAU;BOG;KG;169;835;3561479,55
SAU;BOG;U;5910;5914,4;25686631,54
SAU;BOG;KG;680;3366;14497429,32
SAU;BOG;KG;60;343,5;1479461,37
SAU;BOG;KG;27,5;114,67;493885,98
SAU;BOG;KG;80;435;1873553,7
SAU;BOG;KG;45;249,75;1075678,24
SAU;BOG;KG;800;12475;52224092,5
SAU;BOG;U;15;2123,6;9014682
SAU;BOG;U;6;921,42;3911427,9
SAU;BOG;U;49;6489,98;27549965,1
SAU;BOG;U;25600;3301,6;14015292
SAU;BOG;U;160;284,8;1171778,27
SAU;BOG;U;220;453,2;1864641,54
SAU;BOG;KG;1560;16087,5;66749933,25
SAU;BOG;KG;255;1769,74;7336846,51
SAU;BOG;KG;670;5027,3;20841778,15
SAU;BOG;KG;720;8745,6;36256808,83
SAU;BOG;KG;100;791,5;3281337,38
SAU;BOG;KG;80;579,4;2402030,16
SAU;BOG;KG;100;680,6;2821577,03
SAU;BOG;KG;78,6;780;3233661,6
SAU;BOG;KG;162;1736;7260524,88
SAU;BOG;KG;3960;17831,7;79067362,65
SAU;BOG;U;29;8854;36911263,52
ARG;BOG;U;10450;1628,5;6825499,48
ARG;BOG;U;2;680;2837184,4
ARG;BOG;KG;3000;13440,14;56264458,08
ARG;BOG;KG;125;1081,25;4503038,62
ARG;BOG;U;19;13500;56058472
ARG;BOG;U;13050;4385,75;18617508,75
ARG;BOG;U;420;26178,6;109260575,7
ARG;BOG;U;6400;9546,6;39610561,76
ARG;BOG;U;2500;515;2218115,3
ARG;BOG;KG;50;3415;14222313,9
ARG;BOG;KG;850;35700;148829016
ARG;BOG;KG;20;711,02;2967555,73
ARG;BOG;KG;607,84;14512,18;60499536,95
ARG;BOG;M2;27351,45;128465,42;533832569,1
ARG;BOG;U;47;923,4;3977102,26
ARG;BOG;U;1;1079,3;4474475,59
ARG;BOG;U;1;2794,03;12388980,48
ARG;BOG;U;3;3546,39;14746634,36
ARG;BOG;U;32;28800;120451104
ARG;BOG;U;25;8010;34002450
ARG;BOG;U;2;161,42;669202,12
ARG;BOG;U;1;223,49;926526,96
ARG;BOG;U;55;8883,85;36829954,62
