DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3;96,49;114499,35;543293690,77
PAN;AXM;M3;2,98;3228,94;15321158,84
DEU;BOG;KG;3468,60;16387,50;77810144,25
DEU;BOG;U;1110,00;783,29;3706382,56
DEU;BOG;U;35079,00;19513,05;91646667,04
DEU;BOG;U;12,00;720,00;3423686,40
DEU;BOG;U;53,00;12892,00;61303007,04
DEU;BOG;U;3,00;1104,00;5249652,48
DEU;BOG;U;12,00;1152,00;5477898,24
DEU;BOG;U;322,00;1596,94;7577400,45
DEU;BOG;U;280,00;19040,00;90343848,00
DEU;BOG;U;345,00;70029,80;332287899,51
DEU;BOG;U;38,00;11886,40;56400373,68
DEU;BOG;U;20,00;2108,00;10002354,60
DEU;BOG;U;30,00;4182,00;19843380,90
DEU;BOG;U;155,00;11900,00;56464905,00
DEU;BOG;KG;595,00;71050,00;331007029,50
DEU;BOG;U;6,00;9448,33;45264251,23
DEU;BOG;U;25,00;175,00;830924,50
DEU;BOG;U;20675,00;10185,50;48260060,01
DEU;BOG;KG;217,50;2837,38;13218757,57
DEU;BOG;KG;509,00;16323,84;78424461,27
DEU;BOG;U;78,00;3456,49;16508507,32
DEU;BOG;U;414,00;11514,51;54994336,06
DEU;BOG;U;215,00;3490,26;16669795,88
DEU;BOG;U;3,00;148,11;707386,68
DEU;BOG;U;44,00;9,44;45086,28
DEU;BOG;C/T;11,34;100,00;481410,00
DEU;BOG;C/T;73,23;11100,00;53436621,00
DEU;BOG;U;16348,00;3990,00;19248757,50
DEU;BOG;U;1,00;50,00;241775,50
DEU;BOG;U;3200,00;600,00;2861856,00
DEU;BOG;U;8900,00;1762,00;8404317,12
DEU;BOG;U;200,00;180,00;858556,80
DEU;BOG;U;75060,00;13781,80;66466999,10
DEU;BOG;U;14940,00;2689,20;12826838,59
DEU;BOG;U;91200,00;16726,40;79780913,66
DEU;BOG;U;20736,00;20075,28;95320239,95
DEU;BOG;KG;976,78;4401,47;21283352,19
DEU;BOG;U;1,00;27458,29;131275064,07
DEU;BOG;U;2,00;26799,16;127825561,40
DEU;BOG;U;4,00;4383,88;20546500,29
DEU;BOG;U;7,00;1461,07;7033751,69
DEU;BOG;U;6,00;27,34;126519,37
DEU;BOG;U;12,00;2453,67;11354676,83
DEU;BOG;U;1,00;77497,05;374737760,24
DEU;BOG;U;138,00;56359,20;274272046,80
DEU;BOG;U;11,00;30444,00;147616258,32
DEU;BOG;U;1,00;3920,00;19007217,60
DEU;BOG;U;35000,00;6310,40;30310006,84
DEU;BOG;U;6600,00;2504,00;11943479,04
DEU;BOG;U;1400,00;252,00;1201979,52
DEU;BOG;U;11520,00;2073,60;9890574,33
