DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3;76,97; 96.131,71 ; 436.470.648,17 
PAN;AXM;M3;2,52; 2.721,59 ; 12.356.943,93 
DEU;BOG;U;45; 11.068,00 ; 50.123.319,56 
DEU;BOG;U;6; 2.208,00 ; 9.999.303,36 
DEU;BOG;U;6; 1.800,00 ; 8.151.606,00 
DEU;BOG;U;600; 469,20 ; 2.106.980,13 
DEU;BOG;U;21390; 12.228,00 ; 54.910.812,24 
DEU;BOG;U;42; 0,42 ; 1.886,04 
DEU;BOG;KG;931,5; 4.794,12 ; 21.766.934,80 
DEU;BOG;U;18800; 10.854,65 ; 48.429.757,71 
DEU;BOG;U;35; 10.384,00 ; 46.425.098,72 
DEU;BOG;U;14; 5.922,00 ; 26.476.255,26 
DEU;BOG;U;22; 9.306,00 ; 41.605.543,98 
DEU;BOG;U;10; 2.070,00 ; 9.254.618,10 
DEU;BOG;U;9; 3.312,00 ; 14.807.388,96 
DEU;BOG;U;20; 4.646,00 ; 20.771.476,18 
DEU;BOG;U;10; 2.300,00 ; 10.282.909,00 
DEU;BOG;U;10; 2.390,00 ; 10.685.283,70 
DEU;BOG;U;115; 9.095,00 ; 41.184.888,50 
DEU;BOG;U;310; 64.668,00 ; 292.836.104,40 
DEU;BOG;U;24; 7.507,20 ; 33.994.853,76 
DEU;BOG;U;70; 18.428,00 ; 83.447.512,40 
DEU;BOG;U;55; 4.862,00 ; 22.016.594,60 
DEU;BOG;U;135; 180.686,89 ; 815.401.788,64 
DEU;BOG;U;32; 99.895,04 ; 455.997.631,14 
DEU;BOG;U;7737; 2.193,00 ; 9.847.841,94 
DEU;BOG;U;117; 10.338,07 ; 45.993.349,76 
DEU;BOG;U;9; 567,95 ; 2.526.769,79 
DEU;BOG;U;353; 10.220,60 ; 45.470.733,95 
DEU;BOG;U;438; 6.494,85 ; 28.895.133,01 
DEU;BOG;U;1; 69,03 ; 307.109,63 
DEU;BOG;U;61; 1.232,24 ; 5.482.149,50 
DEU;BOG;U;1; 5.640,11 ; 25.327.365,16 
DEU;BOG;U;1; 2.116,54 ; 9.504.492,19 
DEU;BOG;U;2; 23.732,00 ; 106.570.444,56 
DEU;BOG;U;3; 25.247,94 ; 113.377.894,40 
DEU;BOG;U;1; 10.952,40 ; 49.182.628,39 
DEU;BOG;U;11104; 6.538,99 ; 29.363.857,71 
DEU;BOG;U;1; 50,00 ; 223.083,00 
DEU;BOG;U;2; 80,00 ; 362.293,60 
DEU;BOG;U;6; 330,24 ; 1.469.214,64 
DEU;BOG;U;2; 2.714,78 ; 12.391.450,42 
DEU;BOG;U;1; 17.700,00 ; 80.790.588,00 
DEU;BOG;U;10; 500,00 ; 2.334.500,00 
DEU;BOG;U;22880; 4.348,80 ; 19.597.823,71 
DEU;BOG;U;31556; 27.498,80 ; 126.526.103,62 
DEU;BOG;U;64; 105,60 ; 492.844,70 
DEU;BOG;U;9; 49,34 ; 230.368,46 
DEU;BOG;U;5040; 642,80 ; 2.934.022,03 
DEU;BOG;U;103040; 17.074,19 ; 77.440.447,38 
DEU;BOG;U;28980; 5.173,20 ; 23.605.733,44 
DEU;BOG;U;69760; 12.732,80 ; 57.840.160,15 
DEU;BOG;KG;720; 4.248,00 ; 19.389.741,12 
DEU;BOG;U;372; 1.973,70 ; 8.961.269,05 
DEU;BOG;U;9; 181,90 ; 825.887,84 
DEU;BOG;KG;735; 1.080,00 ; 4.903.567,20 
DEU;BOG;U;4410; 842,10 ; 3.823.420,31 
DEU;BOG;U;5400; 877,50 ; 3.984.148,35 
DEU;BOG;KG;715; 26,00 ; 118.048,84 
DEU;BOG;U;14000; 2.640,00 ; 11.897.133,60 
DEU;BOG;U;15608; 2.937,41 ; 13.242.998,15 
DEU;BOG;U;1000; 2.800,00 ; 12.679.240,00 
DEU;BOG;KG;50,32; 3.154,00 ; 14.282.258,20 
DEU;BOG;U;18920; 3.216,40 ; 14.566.014,18 
DEU;BOG;U;68800; 14.022,60 ; 63.503.727,93 
DEU;BOG;KG;40,5; 107,10 ; 499.845,33 
DEU;BOG;KG;39; 104,00 ; 485.377,36 
DEU;BOG;KG;50,5; 140,00 ; 653.392,60 
DEU;BOG;KG;6; 14,60 ; 68.139,51 
DEU;BOG;KG;287; 1.064,00 ; 4.965.783,76 
DEU;BOG;KG;48; 176,00 ; 821.407,84 
DEU;BOG;KG;158; 420,00 ; 1.960.177,80 
DEU;BOG;KG;129; 442,20 ; 2.063.787,19 
DEU;BOG;KG;885,2; 4.930,00 ; 23.008.753,70 
DEU;BOG;KG;42; 240,00 ; 1.120.101,60 
DEU;BOG;KG;35; 133,00 ; 620.722,97 
DEU;BOG;U;1; 7.686,34 ; 34.638.414,34 
DEU;BOG;U;1; 1.486,08 ; 6.697.004,65 
DEU;BOG;U;1; 3.533,57 ; 15.923.997,86 
DEU;BOG;U;4; 3.129,02 ; 14.100.897,33 
DEU;BOG;U;1; 222,91 ; 1.004.541,68 
DEU;BOG;U;28080; 4.969,60 ; 22.376.652,70 
DEU;BOG;U;3850; 693,00 ; 3.163.156,92 
DEU;BOG;U;7040; 1.267,20 ; 5.784.058,36 
DEU;BOG;U;3080; 554,40 ; 2.510.694,64 
DEU;BOG;U;36117; 6.337,00 ; 28.698.181,79 
DEU;BOG;U;1200; 198,00 ; 898.987,32 
DEU;BOG;U;25840; 4.640,80 ; 20.729.469,39 
DEU;BOG;U;600; 90,00 ; 409.085,10 
DEU;BOG;U;49; 68.119,93 ; 303.927.966,80 
DEU;BOG;U;1650; 812,50 ; 3.614.755,62 
DEU;BOG;U;2400; 468,00 ; 2.124.879,12 
DEU;BOG;U;13650; 2.931,25 ; 13.308.871,62 
DEU;BOG;U;260; 71,20 ; 323.272,20 
DEU;BOG;U;480; 342,00 ; 1.552.796,28 
DEU;BOG;U;2300; 414,00 ; 1.874.869,38 
DEU;BOG;U;14030; 3.450,10 ; 15.624.364,36 
DEU;BOG;U;50; 74.255,66 ; 331.303.507,92 
DEU;BOG;U;2; 18.727,70 ; 85.124.700,30 
DEU;BOG;U;3; 26.744,78 ; 121.565.455,56 
