COD_PAI4;COD_SAL;CODUNI2;CANTI;FOBDOL;FOBPES
USA;AXM;M3;95,12;104644,70;422470536,38
PAN;AXM;M3;12,22;12125,43;48952664,73
DEU;BOG;KG;480,00;3000,00;12111570,00
DEU;BOG;KG;90,00;634,50;2561597,05
DEU;BOG;KG;60,00;228,00;920479,32
DEU;BOG;KG;270,00;940,50;3796977,19
DEU;BOG;KG;1204,20;6902,90;27612297,93
DEU;BOG;KG;64,00;296,00;1195008,24
DEU;BOG;U;32,00;9256,00;36845081,52
DEU;BOG;U;9,00;5175,00;20599967,25
DEU;BOG;U;9,00;3267,00;13004848,89
DEU;BOG;U;16,00;4560,00;18151855,20
DEU;BOG;U;1380,00;1093,50;4347839,78
DEU;BOG;U;28995,00;15999,10;65473596,90
DEU;BOG;U;50,00;4930,00;20294788,70
DEU;BOG;U;245,00;54726,00;225284504,34
DEU;BOG;U;20,00;6256,00;25753387,04
DEU;BOG;U;20,00;3604,00;14836190,36
DEU;BOG;U;20,00;4216,00;17355543,44
DEU;BOG;U;20,00;3332,00;13716477,88
DEU;BOG;U;20,00;3332,00;13716477,88
DEU;BOG;U;100,00;7780,00;32027070,20
DEU;BOG;KG;1088,10;157774,50;636965633,65
DEU;BOG;U;1,00;2526,46;10080297,48
DEU;BOG;KG;27,00;60,00;247062,60
DEU;BOG;KG;9,00;20,00;82354,20
DEU;BOG;U;1300,00;200,00;811388,00
DEU;BOG;U;38160,00;6102,40;24935734,32
DEU;BOG;U;62,00;99871,90;405667865,60
DEU;BOG;U;5600,00;1008,00;4098316,32
DEU;BOG;U;12480,00;2246,40;9133390,65
DEU;BOG;U;13,00;1484,47;5883800,75
DEU;BOG;U;2560,00;460,80;1870917,12
DEU;BOG;U;50,00;18500,00;74688015,00
DEU;BOG;U;44787,00;13917,65;56397252,20
DEU;BOG;U;1800,00;297,00;1181121,48
DEU;BOG;U;10080,00;1808,00;7210407,67
DEU;BOG;KG;16,50;50,40;199763,92
DEU;BOG;KG;37,50;104,00;412211,28
DEU;BOG;KG;20,00;50,00;198178,50
DEU;BOG;KG;82,00;320,00;1268342,40
DEU;BOG;KG;24,00;88,00;348794,16
DEU;BOG;KG;119,50;583,00;2310761,31
DEU;BOG;KG;1198,40;5380,10;21324402,95
DEU;BOG;KG;13,00;70,00;277449,90
DEU;BOG;KG;7,50;28,50;112961,74
DEU;BOG;U;2,00;287,45;1183313,79
DEU;BOG;U;1,00;568,33;2339581,59
DEU;BOG;U;1,00;194,19;799400,61
DEU;BOG;U;986,00;88154,93;362897703,28
DEU;BOG;U;9,00;325,55;1340155,87
DEU;BOG;U;1,00;41,02;168862,52
DEU;BOG;U;2,00;6331,36;26063613,25
DEU;BOG;U;6,00;6873,84;28296780,97
DEU;BOG;U;1,00;372,12;1531009,59
DEU;BOG;U;5,00;8753,08;36012709,49
DEU;BOG;U;19660,00;6549,20;26330876,08
DEU;BOG;U;3,00;2238,31;9052867,16
DEU;BOG;U;2,00;746,98;2960707,51
DEU;BOG;U;4,00;450,00;1787798,50
DEU;BOG;U;1,00;1457,00;5997871,63
DEU;BOG;U;1,00;374,19;1540386,81
DEU;BOG;U;38,00;7456,53;30514581,41
DEU;BOG;U;1,00;50,00;200253,00
DEU;BOG;U;1,00;50,00;200253,00
DEU;BOG;U;21600,00;2942,90;11881046,45
DEU;BOG;U;58200,00;8775,65;35547304,17
DEU;BOG;KG;560,00;4921,56;20140647,63
DEU;BOG;KG;809,64;3487,36;13914182,79
DEU;BOG;U;3,00;10315,50;41005040,89
DEU;BOG;U;4,00;13933,00;56388383,63
DEU;BOG;U;5,00;18860,35;76329911,08
DEU;BOG;U;6000,00;1140,00;4648281,60
DEU;BOG;U;14400,00;2736,00;11155875,84
DEU;BOG;KG;0,17;26,79;106492,66
