COD_PAI4;COD_SAL;CODUNI2;CANTI;FOBDOL;FOBPES
USA;AXM;M3;110,11;108082,89;457256555,3
PAN;AXM;M3;21,58;18547;78465123,66
DEU;BOG;KG;576;4475,52;18142683,95
DEU;BOG;KG;84;525;2221070,25
DEU;BOG;KG;30;114;482289,54
DEU;BOG;KG;90;313,5;1326296,23
DEU;BOG;KG;5;30,7;129879,72
DEU;BOG;KG;144;768;3249108,48
DEU;BOG;KG;8;37;156532,57
DEU;BOG;KG;32;33556,12;142239359,3
DEU;BOG;U;20;3280;13876400,8
DEU;BOG;U;50;7741,4;32750844,25
DEU;BOG;U;18;6624;28023560,64
DEU;BOG;U;25;6200;26229781
DEU;BOG;U;30;4920;20814601,2
DEU;BOG;U;35;6860;29021984,6
DEU;BOG;U;20;2560;10830361,6
DEU;BOG;KG;1031;107926,11;456245758,2
DEU;BOG;U;2;11612,12;48933125,31
DEU;BOG;U;8960;1612,8;6823127,8
DEU;BOG;U;140;200771,94;846571856,7
DEU;BOG;U;4900;882;3715425
DEU;BOG;U;14400;2592;10918800
DEU;BOG;U;10555;1891,9;8006464,04
DEU;BOG;U;37203;6639,34;28097487,69
DEU;BOG;U;58832;15773,71;66022338,45
DEU;BOG;U;2825;452;1912235,72
DEU;BOG;U;23620;4263,4;17894159,85
DEU;BOG;KG;9;18;76537,62
DEU;BOG;KG;49,5;144,5;614427
DEU;BOG;KG;78;195;829157,55
DEU;BOG;KG;20;75;318906,75
DEU;BOG;KG;270,6;1030,5;4381778,74
DEU;BOG;KG;99;367,2;1561367,44
DEU;BOG;KG;81;276,9;1177403,72
DEU;BOG;KG;196,2;1008;4286106,72
DEU;BOG;KG;1770,6;7254;30844660,86
DEU;BOG;KG;29;164;697342,76
DEU;BOG;KG;32,5;121,5;516628,93
DEU;BOG;KG;140;3176,6;13465130,91
DEU;BOG;KG;30;45144,57;190572836,4
DEU;BOG;C/T;284,78;98500;417526725
DEU;BOG;KG;0,27;61500;260689275
DEU;BOG;U;106196;28408,36;119702134,9
DEU;BOG;M2;10;619,91;2554413,54
DEU;BOG;U;270;9614,38;39617206,51
DEU;BOG;U;12;353,54;1456803,99
DEU;BOG;U;1;60,8;250533,69
DEU;BOG;U;32;150;637350
DEU;BOG;U;3;120;494474,4
DEU;BOG;U;1;3710;16274508,6
DEU;BOG;U;31;2409,64;10154150,67
DEU;BOG;U;4;327,86;1381592,2
DEU;BOG;U;27;3172,02;13366797,11
DEU;BOG;U;8;3407,1;13811565,69
DEU;BOG;U;24;1519,78;6377092,95
DEU;BOG;U;2;100;405376
DEU;BOG;U;2;5499,78;22662503,46
DEU;BOG;U;37600;6812;28848854,24
DEU;BOG;U;11520;2073,6;8735040
DEU;BOG;U;63680;11503,84;48459926
DEU;BOG;U;4400;836;3552164
DEU;BOG;U;8800;1672;7104328
DEU;BOG;U;5476;930,92;3921500,5
DEU;BOG;U;16438;3463,8;14591257,5
DEU;BOG;U;2802;3965,94;16778345,42
DEU;BOG;U;1;2402,24;9948708,8
DEU;BOG;U;1;361,98;1499114,83
DEU;BOG;U;1;2681,95;11107108,18
DEU;BOG;KG;50;434,5;1846498,99
DEU;BOG;KG;300;684,5;2908926,49
DEU;BOG;U;24480;4892;20786108
DEU;BOG;U;2250;672;2842969,92
DEU;BOG;U;26256;28491,86;120021960,3
DEU;BOG;U;23220;3199,57;13508872,5
DEU;BOG;U;70780;10801,06;45620438,43
DEU;BOG;U;1800;924,5;3918816,82
DEU;BOG;KG;1550;10122,75;42949604,55
DEU;BOG;KG;0,5;55000;222956800
DEU;BOG;U;2714;3214,64;14101532,7
DEU;BOG;C/T;125,21;9440;39906561,6
DEU;BOG;U;7100;1278;5383575
DEU;BOG;U;41367;7450,06;31383377,75
DEU;BOG;U;1;639,61;2717702,89
DEU;BOG;KG;246;2081,67;8649213,94
DEU;BOG;KG;7537;41130;174343900,5
DEU;BOG;KG;1300;7800;33063030
DEU;BOG;KG;2;1;4238,85
DEU;BOG;KG;180;477;2021931,45
DEU;BOG;KG;3420;18183,8;77078400,63
DEU;BOG;U;4800;624;2639900,64
DEU;BOG;KG;20;84,7;360152,02
DEU;BOG;KG;25;112,66;481099,37
DEU;BOG;KG;130;489,4;2080932,61
DEU;BOG;KG;26;112,95;480273,57
DEU;BOG;KG;10;4;16927,88
DEU;BOG;KG;13;157,71;670597,11
DEU;BOG;KG;216;808,75;3514385,01
DEU;BOG;KG;70;329,9;1419720,97
DEU;BOG;KG;1125;5884,52;25281881,48
DEU;BOG;KG;17;86,4;367380,58
DEU;BOG;U;1000;122,49;514645,4
DEU;BOG;U;319;5782,57;24295641,33
DEU;BOG;U;253671;1388,11;5812030,45
