DESTINO;ORIGEN;UNIDAD DE MEDIDA;CANTIDAD;FOBDOL;FOBPES
USA;AXM;M3;102,31;99636,92;393657499,95
PAN;AXM;M3;11,39;9517,06;37601142,69
ALB;BOG;U;3,00;8580,00;34863628,80
DEU;BOG;KG;9,74;78,72;309234,20
DEU;BOG;KG;3,00;6,10;23962,50
DEU;BOG;KG;13,50;942,35;3701814,65
DEU;BOG;KG;3,80;3,70;14534,63
DEU;BOG;KG;1,70;2,35;9231,45
DEU;BOG;KG;423,00;373,92;1468862,45
DEU;BOG;KG;360,00;477,85;1877128,59
DEU;BOG;KG;2,00;19,68;77308,55
DEU;BOG;KG;0,78;0,95;3731,86
DEU;BOG;KG;69,85;196,10;770335,70
DEU;BOG;KG;1,45;4,10;16105,94
DEU;BOG;KG;3,60;44,70;175594,11
DEU;BOG;L;31,20;77,46;304284,56
DEU;BOG;L;115,00;196,80;773085,50
DEU;BOG;L;30,00;39,36;154617,10
DEU;BOG;KG;30,78;93,42;366979,89
DEU;BOG;U;690,00;538,50;2114468,71
DEU;BOG;U;20630,00;11201,15;43712935,92
DEU;BOG;U;14,00;165,40;649737,51
DEU;BOG;U;55,00;254,20;998568,77
DEU;BOG;U;234,00;1182,96;4646998,10
DEU;BOG;U;1,00;8,92;35040,25
DEU;BOG;U;4,00;39,12;153674,31
DEU;BOG;KG;1015,00;157325,00;617750771,75
DEU;BOG;KG;1022,00;158410,00;618201361,40
DEU;BOG;U;4,00;17934,72;71698347,53
DEU;BOG;U;1800,00;288,00;1159240,32
DEU;BOG;U;22080,00;3782,40;15109750,63
DEU;BOG;U;60,00;62471,21;247416352,19
DEU;BOG;U;5250,00;945,00;3777864,30
DEU;BOG;U;29760,00;5145,60;20570770,94
DEU;BOG;U;238,00;93240,00;374103122,40
DEU;BOG;U;54627,00;10120,80;40887473,34
DEU;BOG;U;2400,00;375,00;1481595,00
DEU;BOG;U;16960,00;2969,60;11801441,61
DEU;BOG;KG;103,50;252,00;1019549,16
DEU;BOG;KG;51,00;136,50;552255,79
DEU;BOG;KG;36,00;90,00;364124,70
DEU;BOG;KG;266,50;1066,00;4312854,78
DEU;BOG;KG;72,00;264,00;1068099,12
DEU;BOG;KG;197,00;528,00;2136198,24
DEU;BOG;KG;138,70;716,90;2900455,52
DEU;BOG;KG;1836,00;8715,00;35259408,45
DEU;BOG;KG;39,00;240,00;970999,20
DEU;BOG;KG;32,50;123,50;499660,00
DEU;BOG;KG;225,00;3358,94;13666619,94
DEU;BOG;U;315,00;18881,84;74558721,60
DEU;BOG;U;327,00;10262,38;40523059,90
DEU;BOG;U;456,00;8067,25;31855150,07
DEU;BOG;U;73,00;1579,81;6238195,74
DEU;BOG;U;200,00;300,00;1200774,00
DEU;BOG;U;36400,00;10332,60;41644616,86
DEU;BOG;U;1,00;320,04;1296974,90
DEU;BOG;U;1,00;50,00;200613,00
DEU;BOG;KG;239,02;297,16;1173395,69
DEU;BOG;U;1,00;4,00;15794,80
DEU;BOG;U;6,00;1,80;7107,66
DEU;BOG;U;40,00;0,40;1579,48
DEU;BOG;U;30,00;1,20;4738,44
DEU;BOG;U;1000,00;10,00;39487,00
DEU;BOG;M2;1,00;5,00;19743,50
DEU;BOG;U;10,00;50,00;197435,00
DEU;BOG;U;20,00;2,00;7897,40
DEU;BOG;U;1,00;1066,80;4323249,67
DEU;BOG;U;400,00;20,00;78974,00
DEU;BOG;U;50,00;10,00;39487,00
DEU;BOG;U;8,00;405,25;1621536,13
DEU;BOG;U;1000,00;40760,00;163539717,60
DEU;BOG;U;18780,00;3428,40;13579489,41
DEU;BOG;U;2400,00;456,00;1790525,04
DEU;BOG;U;23000,00;4370,00;17159198,30
DEU;BOG;U;1,00;30,00;117076,20
DEU;BOG;U;1,00;1295,00;5053789,30
DEU;BOG;U;3,00;1287,00;5022568,98
DEU;BOG;U;1,00;186,00;725872,44
DEU;BOG;U;7,00;6677,00;26057259,58
DEU;BOG;U;138,00;690,00;2796252,60
DEU;BOG;U;18400,00;3546,00;13923688,14
DEU;BOG;U;500,00;160,00;631792,00
DEU;BOG;U;46554,00;35512,41;141868098,19
DEU;BOG;U;1,00;2,13;8319,67
DEU;BOG;U;27520,00;4953,60;19803204,86
DEU;BOG;U;20160,00;3628,80;14491829,23
DEU;BOG;U;64000,00;11803,12;46727571,99
DEU;BOG;U;900,00;485,00;1985124,40
DEU;BOG;U;3,00;37476,44;153623422,84
DEU;BOG;U;3,00;14772,75;60556456,79
DEU;BOG;KG;1,00;55000,00;216055400,00
DEU;BOG;U;16848,00;11456,64;46552452,71
DEU;BOG;U;9000,00;1095,91;4381163,24
DEU;BOG;U;42160,00;5932,65;23717192,21
DEU;BOG;U;9,00;10141,28;41262130,17
DEU;BOG;KG;100,00;600,00;2396118,00
DEU;BOG;KG;14225,00;67333,80;267729110,33
DEU;BOG;KG;100,00;600,00;2398644,00
DEU;BOG;KG;270,00;1236,60;4943605,28
DEU;BOG;KG;1415,00;7915,00;31480639,40
DEU;BOG;KG;11791,50;54556,60;216972601,53
DEU;BOG;KG;15,94;77,80;303980,93
DEU;BOG;KG;1,00;0,10;394,87
DEU;BOG;KG;5,37;15,30;60415,11
DEU;BOG;KG;9,23;10,62;43209,91
DEU;BOG;KG;0,28;0,40;1579,48
DEU;BOG;U;1,00;0,10;394,87
DEU;BOG;KG;0,50;0,30;1184,61
DEU;BOG;U;200,00;0,20;789,74
